scenario_idx,effective_snr,overlap,sir,isi_spread,mem_len,mae_raw,mae_log10,p95_raw,bias_raw,region_acc
23,990.9687131874042,9.130446011799674e-110,0.36155771291808503,0.019316214418464435,12,0.009088034865838734,0.013973533837411315,0.024809480287326345,-0.00035856482423729367,0.85
24,9.7880431930172,0.02694984009466789,0.2617953464558663,0.2015250482228769,14,0.01897098782677189,0.03562537904557911,0.0606269297769197,-0.013438967890336556,0.72
25,411.0863857486121,1.2890313358164864e-46,0.24730678117795948,0.031272004426123885,14,0.012136684313713189,0.01717849247181677,0.05787547439594484,-0.004976712604591396,0.735
26,297.24823919577005,3.465001283370853e-34,0.24387944575730014,0.03681039096733146,14,0.012412604949201916,0.01775351174231242,0.06058450300698877,-0.006307917026518113,0.74
27,16.492662813613777,0.004083444596526587,0.3789732536964385,0.14864892476507008,12,0.011080232497825923,0.029945555549260434,0.02858718655822062,-0.005484263444312996,0.82
28,735.7437320301341,5.439492761861897e-82,0.6591612209217881,0.02042063613106819,8,0.004616617719343432,0.00973396518858143,0.008901780993571461,0.0019120049410109297,0.93
29,24.53870477035826,0.00046045803679859267,0.547837281539697,0.1154759209669198,9,0.007070364245861226,0.02638471198408557,0.01458253569712199,-0.0017311948174800402,0.875
30,14.376435024170284,0.007338384326457514,0.24799227627768522,0.16716773752158592,14,0.018521420618147943,0.028623759183458226,0.06321607062866103,-0.013289587008180954,0.75
31,8780.891193210597,0.0,0.8434589310636997,0.005640634539724063,7,0.004865366902494536,0.013107288486386958,0.012279817735067098,0.0028459665290677043,0.94
32,44.901929532368364,2.155771838748088e-06,0.10287239753072182,0.10047381222529142,14,0.03450159158358009,0.04000183627325701,0.12416608752984551,-0.02583792173345544,0.675
33,5582.070335020986,0.0,0.2922527399690724,0.008340922895910005,14,0.00871811249068105,0.010024857449691083,0.03567225365942235,0.0011833957160845528,0.755
34,73.57414349879521,1.3176111357727467e-09,0.6111178181013707,0.06544098154895506,9,0.006487968502980762,0.023124893933277896,0.01062338148650194,0.0003075872540083629,0.95
35,6440.6753654572485,0.0,0.9834240448714558,0.0063362103074063175,6,0.005465141858184981,0.01783532723800967,0.012837767264912227,0.002415876588753224,0.945
36,1277.9764117781715,5.546138492240361e-141,0.23203929838262605,0.01784078423498267,14,0.013247027423786807,0.01688775595868864,0.04049705041897541,-0.002992751446254838,0.7
37,153.55559017389098,1.913166198010798e-18,0.5578384098667112,0.04607145094843303,9,0.005993159280542279,0.013417929656320772,0.010135408382144865,-3.328061888492509e-05,0.925
38,113.57988428196305,4.849403303015529e-14,0.7110088127311865,0.05138792010640745,8,0.0059346901591989555,0.022489647999152,0.009193424523077497,-1.2589740269342703e-05,0.96
39,77.2362313358619,5.153833757299565e-10,0.3281033712475836,0.06997686495001161,13,0.008864055361337277,0.014115690834995396,0.03427825976825095,-0.0050505622127231045,0.83
40,3.0379055487034226,0.2177780385098479,0.15425623604165903,0.3776875985366692,14,0.030827576707241944,0.04096883204531907,0.11231096856660666,-0.026530174236078286,0.65
41,621.9879472867491,1.3264635636919748e-69,0.481304342403594,0.023424854819439112,10,0.004775216591838677,0.007331893600815626,0.014539591616280354,0.0026519630372220165,0.935
42,2824.269816135272,4.847254545907674e-309,0.49161159745671695,0.01095998817869171,10,0.006265177163782329,0.009373494384994288,0.019210856456620778,0.0043454895212749175,0.93
43,770.1967233640282,9.660218982779627e-86,0.8794834902219395,0.0189053485983896,7,0.005836945432062343,0.019470120275009998,0.007607625226242214,-0.0009513344198778194,0.935
44,244.25112096530546,2.166816596856216e-28,0.8218771435308704,0.03390577540715569,7,0.005838962700952759,0.02142874295253216,0.007469624283368344,-8.351993248598852e-05,0.955
45,130.83666836684637,6.0572741211114e-16,1.0183958134013258,0.04447876366490335,6,0.0052365746942172105,0.026776842831091795,0.007172695135211886,-0.0005402428399509741,0.955
46,17587.78133897378,0.0,0.7236535612252759,0.004099280010375514,8,0.00672769546755568,0.014430738365441717,0.021951729061240922,0.0032059857779793205,0.925
47,17.708673843655323,0.002923933180688386,0.2611092821726537,0.14989681356944035,14,0.016873242465061628,0.026202722241324573,0.057680357980677076,-0.01186724761905427,0.745
48,584.019777486535,1.813948172241692e-65,0.2849038477880667,0.02586635630851836,14,0.010376690961722368,0.015306306009983638,0.04456568995132592,-0.0029279290853037724,0.775
49,224.55838883583152,3.103756981557708e-26,0.3282034481406585,0.041066794450299135,13,0.009161207983116893,0.01445789588671405,0.03409293316904155,-0.003971153594287321,0.85
50,23.611832940163996,0.0005904279040389526,0.2054038828263838,0.1326377806150121,14,0.019053939137746445,0.027117392951132756,0.07934311024124178,-0.015243997501945621,0.7
51,96.72705713022326,3.5409291212902232e-12,0.11389104772148383,0.06811775226601777,14,0.03147094627854359,0.03679587828312791,0.11267822990708169,-0.023037655359052053,0.66
52,1383.63927563562,1.7971839278899347e-152,0.16056702055826355,0.017649257887987407,14,0.023212816893625865,0.027711068950373074,0.06648249158577925,-0.012027008806787986,0.665
53,8.431376964120961,0.04005180945247712,0.26978315188530516,0.21645763895445758,14,0.018873499939933116,0.037537609010628574,0.05961938256792877,-0.013666449853949802,0.725
54,2454.5598142165836,7.18901510259055e-269,0.5857522644155495,0.011413695245812533,9,0.005589938264269112,0.010483282218874906,0.01342247254906718,0.003917979053664963,0.93
